date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets;total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2007-03-31;8,455;-6,928;1,527;-206;-64;56;-52;1,261;-340;921;-;921;4,288;-;-;5,844;-;2,859;12,991;-;58;-;3,154;12,252;15,464;28,455;-;-;-;200;6,158;6,358;2,33;2,83;11,518;-;-;-;-;16,937;16,937;-;16,937;-;-;-;-;-;-;-;-;1,49;1,49;-373;-;-373;-26;-;-;-;-26;1;1,092;289
2007-06-30;9,292;-6,826;2,466;-188;-80;53;-60;2,191;-589;1,602;-;1,602;1,294;-;-;5,623;-;3,436;10,353;-;59;-;3,152;12,581;15,792;26,145;-;-;-;716;5,937;6,653;3,573;2,889;13,115;-;-;-;-;13,03;13,03;-;13,03;-;-;-;-;-;-;-;-;1,139;1,139;-688;-;-688;1,767;-1,158;-4,054;-;-3,445;3;-2,994;289
2007-09-30;8,166;-6,598;1,568;-200;-70;42;-106;1,234;-334;900;-;900;594;-;-;7,307;-;3,072;10,973;-;65;-;3,171;12,786;16,022;26,995;-;-;-;1,681;7,029;8,71;3,282;2,838;14,83;-;-;-;-;12,165;12,165;-;12,165;-;-;-;-;-;-;-;-;592;592;-530;-;-530;668;-;-1,43;-;-762;-3;-700;289
2007-12-31;7,29;-6,358;932;-264;-108;36;-87;509;-146;363;-;363;878;-;-;6,904;-;2,726;10,508;-;60;-;3,197;13,466;16,723;27,231;-;-;-;1,483;5,301;6,784;4,434;3,081;14,299;-;-;-;-;12,932;12,932;-;12,932;-;-;-;-;1,426;240;-;-;509;509;-920;-7;-927;891;-;-190;-;701;1;284;289
2008-03-31;9,303;-7,789;1,514;-227;-86;36;-104;1,133;-130;1,263;-;1,263;1,049;-;-;6,399;-;2,885;10,333;-;58;-;3,169;13,661;16,888;27,221;-;-;-;1,243;5,894;7,137;3,62;2,765;13,522;-;-;-;-;13,699;13,699;-;13,699;-;-;-;-;-;-;-;-;1,815;1,815;-617;-;-617;-1,027;-;-;-;-1,027;-;171;273
2008-06-30;7,885;-7,166;719;-255;-101;51;-60;354;-95;259;-;259;982;-;-;5,624;-;2,682;9,288;-;60;-;3,188;14,676;17,924;27,212;-;-;-;1,243;5,563;6,806;4,389;2,904;14,099;-;-;-;-;13,113;13,113;-;13,113;-;-;-;-;-;-;-;-;1,607;1,607;-1,317;-;-1,317;737;-1,094;-;-;-357;-;-67;273
2008-09-30;7,513;-7,398;115;-189;-98;35;-62;-199;-64;-135;-;-135;784;-;-;4,952;-;2,379;8,115;-;65;-;3,222;15,607;18,894;27,009;-;-;-;1,584;3,931;5,515;4,031;3,27;12,816;-;-;-;-;14,193;14,193;-;14,193;-;-;-;-;-;-;-;-;1,044;1,044;-1,157;-4;-1,161;-83;-;-;-;-83;2;-198;273
2008-12-31;6,287;-6,48;-193;-242;-92;52;-91;-566;-115;-451;-;-451;1,204;-;-;4,051;-;4,407;9,662;-;67;-;3,331;17,192;20,59;30,252;-;-;-;362;3,535;3,897;6,67;3,554;14,121;-;-;-;-;16,131;16,131;-;16,131;-;-;-;-;-;-;-;-;1,004;1,004;-1,53;-8;-1,538;953;-;-;-;953;1;420;273
2009-03-31;5,879;-4,836;1,043;-235;-50;31;-121;668;-104;564;-;564;428;-;-;5,427;-;4,074;9,929;-;89;-;3,425;17,995;21,509;31,438;-;-;-;20;3,688;3,708;8,177;3,696;15,581;-;-;-;-;15,857;15,857;-;15,857;-;-;-;-;-;-;-;-;-792;-792;-1,019;-;-1,019;1,035;-;-;-;1,035;-;-776;273
2009-06-30;6,439;-5,506;933;-253;-52;28;-69;587;-155;432;-1;431;718;-;-;5,045;-;3,94;9,703;-;28;-;3,388;19,055;22,471;32,174;-;-;-;315;4,013;4,328;8,476;3,72;16,524;-;-;-;-;15,65;15,65;-;15,65;-;-;-;-;-;-;-;-;1,449;1,449;-1,546;-;-1,546;-;-274;-;1,696;387;-;290;273
2009-09-30;6,96;-5,786;1,174;-193;-51;20;-27;923;-239;684;-1;683;814;-;-;4,921;-;3,616;9,351;-;90;-;3,304;19,498;22,892;32,243;-;-;-;672;4,409;5,081;7,293;3,906;16,28;-;-;-;-;15,963;15,963;-;15,963;-;-;-;-;-;-;-;-;1,695;1,695;-1,081;-4;-1,085;1,184;-;-;-;-512;-2;96;273
2009-12-31;8,357;-6,829;1,528;-261;-65;37;-40;1,199;-378;821;1;822;825;-;-;5,245;-;3,262;9,332;-;93;-;3,359;20,475;23,927;33,259;-;-;-;1,055;5,566;6,621;6,624;3,766;17,011;-;-;-;-;16,247;16,247;10;16,257;-;-;-;-;-;-;-;-;1,622;1,622;-1,266;-6;-1,272;-339;-;-;-;-339;-;13;273
2010-03-31;8,316;-6,827;1,489;-219;-59;18;-33;1,196;-318;878;-;878;833;-;-;6,142;-;2,712;9,687;-;94;-;3,254;20,379;23,727;33,414;-;-;-;1,044;4,77;5,814;6,468;4,31;16,592;-;-;-;-;16,822;16,822;-;16,822;-;-;-;-;-;-;-;-;550;550;-598;-4;-602;-;-;-;62;62;-2;10;273
2010-06-30;8,908;-7,499;1,409;-237;-74;26;-128;996;-241;755;-1;754;835;-;-;7,238;-;2,817;10,89;-;91;-;3,291;20,512;23,894;34,784;-;-;-;1,051;5,433;6,484;6,986;4,57;18,04;-;-;-;-;16,744;16,744;-;16,744;869;-;-;407;135;-;-;-;-2,461;1,007;-806;-;-806;-;-821;-;623;-198;-1;-;273
2010-09-30;9,373;-7,798;1,575;-180;-63;17;-85;1,264;-354;910;-1;909;1,035;-;-;6,537;-;2,328;9,9;-;89;-;3,203;20,409;23,701;33,601;-;-;-;1,55;5,22;6,77;5,391;3,957;16,118;-;-;-;-;17,483;17,483;-;17,483;480;-;-;240;33;-;-;-;5,069;7,052;-566;-;-566;-;-;-;-1;-1;-3;5,483;273
2010-12-31;10,12;-7,915;2,205;-204;-90;33;-69;1,875;-462;1,413;-1;1,412;821;-;-;7,924;-;2,106;10,851;-;173;-;3,181;20,923;24,277;35,128;-;-;-;449;7,105;7,554;4,365;4,363;16,282;-;-;-;-;18,846;18,846;-;18,846;456;-;-;85;29;-;-;-;-4,83;-2,413;-1,026;5;-1,021;-1;-1;-;-2,061;-2,063;-1;-5,497;273
2011-03-31;10,158;-8,524;1,634;-215;-77;31;-72;1,301;-340;961;-;961;1,197;-;-;6,888;-;2,561;10,646;-;188;-;3,156;21,083;24,427;35,073;-;-;-;178;6,507;6,685;4,549;4,283;15,517;-;-;-;-;19,556;19,556;12;19,568;477;-;-;87;908;-;-;-;-736;1,129;-664;-17;-681;-;-2;-;-68;-70;-1;376;273
2011-06-30;9,896;-8,441;1,455;-273;-85;51;-66;1,082;-278;804;-1;803;666;-;-;7,89;-;2,687;11,243;-;193;-;3,227;21,748;25,168;36,411;-;-;-;128;6,673;6,801;6,284;4,3;17,385;-;-;-;-;19,026;19,026;-;19,026;483;-;-;-179;79;-;-;-;-1,153;233;-1,02;-4;-1,024;-;-1,365;-;1,62;255;2;-532;273
2011-09-30;10,553;-9,091;1,462;-222;-86;37;-60;1,131;-294;837;-2;835;624;-;-;7,095;-;3,544;11,263;-;195;-;3,241;22,257;25,693;36,956;-;-;-;216;6,415;6,631;5,419;4,469;16,519;-;-;-;-;20,437;20,437;-;20,437;496;-;-;-4;70;-;-;-;167;1,79;-966;-2;-968;-;-2;-;-862;-864;-;-43;273
2011-12-31;9,716;-8,348;1,368;-214;-109;59;-59;1,045;-258;787;-;787;-;-;-;7,737;-;3,539;11,276;-;182;-;3,184;22,973;26,339;37,615;-;-;-;801;6,117;6,918;4,957;4,72;16,595;-;-;-;-;21,02;21,02;12;21,032;481;-;-;178;483;-;-;-;-836;869;-1,365;14;-1,351;1;-;-;214;215;-;-267;273
2012-03-31;10,321;-8,519;1,802;-197;-108;43;-38;1,502;-385;1,117;-;1,117;780;-;-;7,262;-;2,714;10,756;-;175;-;3,186;23,321;26,682;37,438;-;-;-;1,634;5,503;7,137;3,646;5,386;16,169;-;-;-;-;21,269;21,269;-;21,269;618;-;-;-16;592;-;-;-;-213;1,891;-1;-4;-1,004;-;-;-;-463;-463;-1;424;273
2012-06-30;10,363;-9,203;1,16;-277;-119;31;-57;738;-205;533;-;533;355;-;-;7,558;-;2,613;10,526;-;178;-;3,177;23,774;27,129;37,655;-;-;-;2,276;5,619;7,895;3,544;5,408;16,847;-;-;-;-;20,808;20,808;-;20,808;704;-;-;63;255;-;-;-;-729;1,154;-873;30;-843;-;-;-;-304;-304;-;6;273
2012-09-30;9,123;-7,66;1,463;-207;-91;-6;-43;1,116;-290;826;1;827;361;-;-;8,274;-;2,269;10,904;-;157;-;3,119;23,877;27,153;38,057;-;-;-;1,907;6,107;8,014;3,498;5,222;16,734;-;-;-;-;21,323;21,323;-;21,323;638;-;-;-193;310;-;-;-;-169;1,014;-936;-2;-938;-;-1,094;-;591;-503;2;-425;273
2012-12-31;10,194;-9,178;1,016;-239;-111;9;-39;636;-228;864;-1;863;1,011;1,016;-;8,244;-;1,128;11,399;-;32;-;3,16;25,489;28,681;40,08;4,192;-;-;1,666;1,901;7,759;4,31;5,671;17,74;-;-;-;-;22,34;22,34;14;22,354;601;-;-;-64;-12;-;-;-;286;1,459;-1,366;22;-1,344;-;-;-;540;540;-4;651;273
