date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets;total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2020-12-31;16,17;-12,544;3,626;-339;-195;-15;-63;3,014;-661;2,353;-;2,353;5,06;3,631;-;14,238;-;1,913;24,842;-;15;-;3,506;44,129;47,65;72,492;6,607;-;-;50;4,741;11,398;5,951;9,518;26,867;-;-;-;-;45,625;45,625;13;45,638;1,598;-;-;-2;558;-;-;-;-161;4,449;-1,696;-2;-1,698;-;-;-;-318;-318;-;2,433;273
2021-03-31;17,083;-13,881;3,202;-270;-;-152;-61;2,719;-542;2,177;-1;2,176;7,211;3,398;-;14,905;-;1,428;26,942;-;15;-;3,597;44,293;47,905;74,847;7,457;-;-;52;3,496;11,005;5,994;9,614;26,613;-;-;-;-;48,234;48,234;12;48,246;1,33;-;-;-327;359;-;-;-;-480;3,242;-1,086;10;-1,076;-;-;-;-14;-14;-;2,152;273
2021-06-30;17,891;-14,555;3,336;-299;-237;-14;-59;2,727;-536;2,191;-1;2,19;5,312;3,854;-;15,34;-;1,459;25,965;-;14;-;3,555;44,049;47,618;73,583;8,288;-;-;45;3,389;11,722;5,97;9,581;27,273;-;-;-;-;46,31;46,31;13;46,323;1,418;-;-;-163;466;-;-;-;-576;3,406;-1,394;-;-1,394;1;-3,898;-;-15;-3,912;-;-1,9;273
2021-09-30;15,906;-13,22;2,686;-259;-221;99;-61;2,244;-444;1,8;-2;1,798;6,258;3,478;-;16,203;-;1,551;27,49;-;16;-;3,56;44,375;47,951;75,441;8,068;-;-;44;3,521;11,633;5,987;9,583;27,203;-;-;-;-;48,238;48,238;15;48,253;1,38;-;-;123;404;-;-;-;-1,246;2,501;-1,538;-2;-1,54;-;-;-;-15;-16;-;945;273
2021-12-31;17,756;-14,051;3,705;-307;-288;103;-64;3,149;-614;2,535;-;2,535;8,251;2,873;-;18000;-;1,234;30,358;-;15;-;3,616;46,56;50,191;80,549;8,812;-;-;38;3,595;12,445;5,993;11,244;29,682;-;-;-;-;50,867;50,867;15;50,882;1,493;-;-;-365;634;-;-;-;-282;3,995;-1,971;-15;-1,986;1;-;-;-16;-15;-;1,994;273
2022-03-31;21,812;-16,203;5,609;-392;-211;33;-48;4,991;-1,024;3,967;1;3,968;10,769;4,238;-;19,413;-;2,711;37,131;-;14;-;3,667;47,163;50,844;87,975;9,21;-;-;1,027;4,222;14,459;6,886;11,423;32,768;-;-;-;-;55,207;55,207;-;55,207;1,381;-;-;-517;620;-;-;-;-3,644;2,211;-1,537;1;-1,536;-;-;-;1,843;1,843;-;2,518;273
2022-06-30;21,568;-17,044;4,524;-425;-267;245;-93;3,984;-828;3,156;-1;3,155;5,677;3,888;-;20,761;-;2,009;32,335;-;15;-;3,691;48,395;52,101;84,436;8,819;-;-;1,032;4,083;13,934;6,987;11,708;32,629;-;-;-;-;51,807;51,807;13;51,82;1,547;-;-;491;539;-;-;-;-1,743;4,28;-2,243;-;-2,243;-;-7,111;-;-19;-7,13;1;-5,092;273
2022-09-30;19,48;-15,569;3,911;-364;-269;273;-147;3,404;-695;2,709;-2;2,707;6,953;4,183;-;24,485;-;2,105;37,726;-;15;-;3,746;50,038;53,799;91,525;11,147;-;-;406;4,076;15,629;8,886;11,928;36,443;-;-;-;-;55,082;55,082;14;55,096;1,462;-;-;72;628;-;-;-;-2,325;2,612;-2,524;9;-2,515;-;-;-;1,178;1,178;1;1,276;273
2022-12-31;23,577;-19,474;4,103;-484;-300;-91;-6;3,222;-645;2,577;-;2,577;12,159;3,83;-;22,278;-;1,659;39,926;-;15;-;3,533;52,902;56,45;96,376;10,335;-;-;414;5,083;15,832;10,639;11,594;38,065;-;-;-;-;58,311;58,311;14;58,325;1,772;-;-;154;1,028;-;-;-;2,147;7,295;-3,724;-51;-3,775;-1;-;-;1,687;1,686;-;5,206;273
2023-03-31;19,962;-15,872;4,09;-445;-296;57;-205;3,201;-660;2,541;-;2,541;13,722;3,721;-;25,067;-;1,811;44,321;-;14;-;3,517;54,405;57,936;102,257;12,361;-;-;427;4,438;17,226;12,301;11,971;41,498;-;-;-;-;60,759;60,759;14;60,773;1,484;-;-;-518;1,036;-;-;-;-1,296;2,871;-2,918;1;-2,917;-;-;-;1,609;1,609;-;1,563;273
2023-06-30;18,442;-16,823;1,619;-436;-339;30;-234;640;-119;521;-1;520;3,589;3,2;-;25,938;-;3,347;36,074;-;16;-;3,619;57,859;61,494;97,568;11,654;-;-;2,598;4,639;18,891;11,165;12,32;42,376;-;-;-;-;55,192;55,192;15;55,207;1,645;-;-;213;367;-;-;-;-2,048;449;-4,219;-1;-4,22;-;-7,248;-;881;-6,367;4;-10,134;273
2023-09-30;19,396;-16,953;2,443;-392;-238;99;-244;1,668;-311;1,357;-1;1,356;4,219;3,711;-;24,137;-;2,89;34,957;-;16;-;3,587;59,472;63,075;98,032;10,714;-;-;3,776;3,677;18,167;11,723;12,131;42,021;-;-;-;-;56,011;56,011;15;56,026;1,484;-;-;-27;322;-;-;-;-733;2,392;-3,59;-1;-3,591;-;-;-;1,833;1,833;-2;632;273
2023-12-31;20,754;-18,17;2,585;-225;-277;329;190;2,092;-436;1,656;0;1,656;4,978;3,964;-;21,987;-;1,806;33,091;-;-;-;3,537;64,62;68,866;101,957;10,915;-;-;2,962;3,264;18,396;11,462;8,194;38,052;-;-;-;-;56,405;56,405;15;56,42;1,633;-;-;-;39;-;-;-;-3,487;6,471;-4,804;-4;-4,808;-;-;-;-902;-902;-2;761;273
