date;revenue;cogs;gross_profit;sell_gen_adm_exp;r&d;other_income;financial_income;profit_before_tax;tax;net_profit;minority_interest;net_profit_minority_int;cash;acc_rec;short_invest;inventory;prep_expanses;other_curr_assets;curr_assets;ppe;long_term_invest;goodwill;intangible_assets;other_long_assets;non_current_assets;total_assets;acc_pay;short_term_debt;acc_expenses;current_debt;other_curr_liab;curr_liab;long_term_debt;other_liab;total_liab;charter_capital;addditional_cap;retained_earnings;treasury_stocks;other_eq_adjust;common_equity;minority_interest;total_equity;depr;amort;deff_tax;non_cash_item;cash_tax_paid;cash_interest_paid;cash_payment;cash_receipt;change_in_wc;cash_from_operating_activities;capex;other_investing_cf_items;cash_from_investing;financing_cf_item;total_cash_dividend_paied;issuance_of_stocks;issuance_of_debt;cash_from_financing;foreign_exchange_effect;net_change_in_cash;shares
2015-03-31;3,546;-2,218;1,328;-408;-;-939;-34;-54;-27;-26;6;-21;2,152;1,56;-;4,314;-;651;8,677;-;1,74;-;7,635;5,188;14,563;23,241;1,041;579;-;676;1,006;3,302;4,864;-;10669;101;3,714;4,756;-35;0;8,535;4,036;12,571;170;-;-;362;143;58;-;-;-55;425;-189;-107;-296;-58;-;-;-132;-190;15;-46;203
2015-06-30;4,108;-2,427;1,681;-406;-;-895;-26;353;-122;231;-47;184;2,218;1,58;-;4,241;-;661;8,7;-;1,871;-;7,539;5,136;14,546;23,246;1,074;745;-;808;872;3,499;5,225;-;11113;101;3,714;4,537;-35;0;8,316;3,816;12,132;175;-;-;238;236;72;-;-;-471;295;-219;23;-196;-72;-684;-;735;-21;-11;66;203
2015-09-30;3,791;-2,379;1,412;-477;-;-604;0;331;-62;269;-94;175;2,42;1,618;-;4,559;-;680;9,278;-;1,671;-;7,976;5,344;14,99;24,268;1,259;653;-;796;949;3,657;5,351;-;11544;101;3,714;4,826;-35;0;8,606;4,118;12,724;194;-;-;-90;21;65;-;-;-23;412;-231;229;-2;-65;0;-;-154;-219;10;202;203
2015-12-31;3,795;-2,35;1,445;-506;-;2;-1;941;-132;809;-426;384;2,47;1,655;-;5,539;-;622;10,286;-;1,8;-;8,039;5,669;15,508;25,794;1,004;878;-;1,078;985;3,945;5,322;-;12229;101;3,714;5,256;-35;-;9,036;4,575;13,611;211;-;-;-689;28;60;-;-;-383;80;-486;103;-384;-120;0;-;471;351;3;50;203
2016-03-31;4,412;-2,59;1,822;-490;-;-473;48;908;-215;693;-324;369;3,753;1,879;-;5,361;-;635;11,627;-;1,827;-;8,036;5,461;15,324;26,951;1,135;450;-;1,516;811;3,913;5,015;-;11908;101;3,714;6,008;-35;0;9,788;5,256;15,043;192;-;-;-202;181;73;-;-;-108;790;-158;964;806;-73;-;-;-230;-303;-11;1,282;203
2016-06-30;4,558;-2,649;1,909;-437;-;-833;20;659;-155;504;-286;218;4,979;1,971;-;5,03;-;747;12,728;-;1,716;-;8,05;5,546;15,312;28,039;1,186;374;-;1,518;1,044;4,121;4,973;-;12034;101;3,714;4,502;-35;0;8,281;7,723;16,005;197;-;-;138;36;70;-;-;39;1,033;-273;295;22;1,982;-1,695;-;-123;164;7;1,226;203
2016-09-30;4,611;-2,774;1,837;-560;-;-879;60;458;-96;362;-196;166;3,434;1,861;-;5,646;-;766;11,707;-;1,68;-;10,813;6,824;19,317;31,024;1,474;392;-;1,565;1,311;4,742;6,228;-;14052;101;3,714;4,487;-18;0;8,284;8,688;16,972;214;-;-;14;9;79;-;-;-77;609;-300;-1,912;-2,212;-79;-;-;142;63;-4;-1,545;203
2016-12-31;5,323;-2,51;2,813;-743;-;496;93;2,658;-509;2,149;-1,257;892;3,745;2,34;-;7,879;-;735;14,699;-;1,744;-;11,671;6,887;20,302;35,001;1,5;788;-;1,351;1,918;5,557;7,065;-;16788;101;3,714;5,452;-18;-1;9,248;8,965;18,213;242;-;-;-1,592;23;92;-;-;-440;869;-411;-2,055;-2,466;949;0;-;954;1,903;6;311;203
2017-03-31;6,075;-3,149;2,926;-771;-;-1,845;106;416;-72;343;-136;207;4,432;2,192;-;6,418;-;815;13,856;-;1,899;-;11,767;6,903;20,569;34,425;1,486;161;-;978;1,877;4,501;7,367;-;15826;101;3,714;5,697;-18;0;9,493;9,105;18,598;226;-;-;944;216;98;-;-;146;1,731;-264;17;-248;-98;-4;-;-695;-796;-1;686;203
2017-06-30;5,019;-2,398;2,621;-659;-;-169;24;1,817;-419;1,398;-689;710;4,048;2,218;-;7,341;-;801;14,407;-;1,895;-;11,727;7,122;20,743;35,151;1,284;287;-;878;1,483;3,933;8,023;-;16097;101;3,714;5,891;-18;0;9,688;9,365;19,053;233;-;-;-751;352;81;-;-;-1,03;269;-470;158;-311;-81;-947;-;689;-338;-4;-384;203
