ticker;report;date;rev;cost_sale;r_d;sale_gen_adm;inpairm;other_charg;op_income;int_income;int_exp;inc_b_tax;inc_tax_exp;net_inc;shares;eps_nor;eps_dil;cash_cash_eq;short_inv;acc_rec;invent;other_curr_ass;tot_curr_ass;ppe_net;goodwill;intang_ass;other_ass;tot_ass;short_debt;acc_pay;other_curr_liab;tot_curr_liab;tot_long_debt;other_liab;tot_equity;tot_liab;depr_amort;stock_b_comp
TSN;Q;2014-10-01;10105;9393;0;406;0;0;306;1.75;54;218;82;129;364;0.33;0.32;438;0;1684;3274;379;6221;5130;6706;5276;623;23956;643;1806;1207;3797;7535;1270;8904;15052;148;12.75
TSN;K;2014-10-01;37580;34895;0;1255;0;0;1430;7;132;1252;396;856;364;2.48;2.37;438;0;1684;3274;379;6221;5130;6706;5276;623;23956;643;1806;1207;3797;7535;1270;8904;15052;530;51
TSN;Q;2015-01-01;10817;9861;0;447;0;0;509;2.25;77;435;125;309;416;0.77;0.74;381;0;1777;3192;375;5938;5211;6700;5246;663;23758;596;2147;1157;3954;6931;1263;9137;14621;175;17.25
TSN;Q;2015-04-01;9979;8990;0;442;0;0;547;2.25;71;483;172;311;415;0.78;0.75;223;0;1632;3262;346;5668;5278;6689;5223;668;23526;1236;1694;1072;4051;6438;1215;9370;14156;172;17.25
TSN;Q;2015-07-01;10071;9085;0;423;0;0;563;2.25;73;518;174;343;414;0.86;0.83;471;0;1633;3082;214;5589;5312;6690;5202;650;23443;1205;1621;1150;4028;6029;1256;9683;13760;177;17.25
TSN;Q;2015-10-01;10506;9520;0;436;0;0;550;2.25;72;485;226;257;413;0.65;0.63;688;0;1620;2878;195;5381;5176;6667;5168;612;23004;715;1662;1158;3535;6010;1304;9706;13298;187;17.25
TSN;K;2015-10-01;41373;37456;0;1748;0;0;2169;9;293;1921;697;1220;413;3.06;2.95;688;0;1620;2878;195;5381;5176;6667;5168;612;23004;715;1662;1158;3535;6010;1304;9706;13298;711;69
TSN;Q;2016-01-01;9152;7951;0;425;0;0;776;1.5;67;712;251;461;400;1.18;1.15;1187;0;1514;2818;158;5677;5184;6669;5145;615;23290;717;1781;1170;3668;5988;1343;9777;13513;172;20.25
TSN;Q;2016-04-01;9170;7987;0;479;0;0;704;1.5;64;644;210;432;393;1.14;1.1;254;0;1493;2993;187;4927;5166;6670;5125;623;22511;79;1456;1075;2610;6270;1308;9807;12704;176;20.25
TSN;Q;2016-07-01;9403;8179;0;457;0;0;767;1.5;60;711;226;485;388;1.29;1.25;197;0;1599;2918;167;4881;5157;6669;5104;599;22410;79;1466;1168;2713;6099;1306;9806;12604;178;20.25
TSN;Q;2016-10-01;9156;8067;0;503;0;0;586;1.5;58;531;139;394;390;1.06;1.03;349;0;1542;2732;265;4888;5170;6669;5084;562;22373;79;1511;1172;2762;6200;1242;9624;12749;179;20.25
TSN;K;2016-10-01;36881;32184;0;1864;0;0;2833;6;249;2598;826;1772;390;4.67;4.53;349;0;1542;2732;265;4888;5170;6669;5084;562;22373;79;1511;1172;2762;6200;1242;9624;12749;705;81
TSN;Q;2017-01-01;9182;7699;0;501;0;0;982;1.75;58;912;318;593;373;1.64;1.59;307;0;1512;2767;156;4742;5206;6669;5064;576;22257;66;1591;1315;2972;5901;1279;9567;12690;177;23
TSN;Q;2017-04-01;9083;8036;0;476;0;0;571;1.75;56;519;178;340;370;0.95;0.92;243;0;1589;2970;215;5017;5283;6669;5036;591;22596;543;1466;1097;3106;5905;1280;9789;12807;179;23
TSN;Q;2017-07-01;9850;8648;0;505;0;0;697;1.75;71;617;169;447;370;1.24;1.21;231;0;1710;3248;238;6288;5545;9264;6372;594;28063;1017;1608;1217;3865;9807;1265;10137;17926;187;23
TSN;Q;2017-10-01;10145;8794;0;670;0;0;681;1.75;94;580;185;398;370;1.11;1.07;318;0;1675;3239;219;6258;5568;9324;6243;673;28066;906;1698;1424;4032;9297;1199;10559;17507;218;23
TSN;K;2017-10-01;38260;33177;0;2152;0;0;2931;7;279;2628;850;1778;370;4.94;4.79;318;0;1675;3239;219;6258;5568;9324;6243;673;28066;906;1698;1424;4032;9297;1199;10559;17507;761;92
TSN;Q;2018-01-01;10229;8778;0;524;0;0;927;1.75;88;842;-790;1632;371;4.54;4.4;293;0;1600;3213;172;5993;5673;9404;6282;694;28046;811;1748;1413;3978;8875;1206;11974;16072;229;17.25
TSN;Q;2018-04-01;9773;8753;0;522;0;0;498;1.75;86;423;107;316;370;0.88;0.85;198;0;1594;3328;228;5990;5755;9404;6231;711;28091;1128;1485;1217;3838;8872;1186;12156;15935;230;17.25
TSN;Q;2018-07-01;10051;8745;0;504;0;0;802;1.75;89;723;181;541;369;1.52;1.47;170;0;1684;3378;196;6077;5925;9498;6405;733;28638;1308;1546;1251;4112;8852;1187;12437;16201;238;17.25
TSN;Q;2018-10-01;9999;8650;0;521;0;0;828;1.75;87;757;220;535;369;1.5;1.47;270;0;1723;3513;182;5688;6169;9739;6759;754;29109;1911;1694;1426;5031;7962;1198;12811;16298;246;17.25
