end,form,cik,rev,cost_sale,sale_gen_adm,inpairm,op_income,int_income,int_exp,inc_tax_exp,net_inc,shares,eps_dil,depr_amort,cash_cash_eq,acc_rec,invent,other_curr_ass,tot_curr_ass,ppe_net,goodwill,intang_ass,other_ass,tot_ass,short_debt,acc_pay,other_curr_liab,tot_curr_liab,tot_long_debt,other_liab,tot_equity,ticker
2012-12-29,10-Q,0000100493,8402000000,7865000000,237000000,0.0,304000000,1000000,37000000,96000000,168000000,362000000,0.48,130000000.0,951000000,1365000000,2932000000,139000000,5387000000,4043000000,1891000000,126000000,427000000,11874000000,519000000,1435000000,527000000,2846000000,1907000000,527000000,6034000000,TSN
2013-03-30,10-Q,0000100493,8419000000,8011000000,232000000,0.0,236000000,2000000,36000000,53000000,106000000,366000000,0.26,130000000.0,762000000,1428000000,2921000000,188000000,5299000000,4002000000,1892000000,115000000,481000000,11789000000,512000000,1265000000,541000000,2732000000,1904000000,541000000,6076000000,TSN
2013-06-29,10-Q,0000100493,8731000000,8049000000,263000000,0.0,419000000,2000000,36000000,136000000,245000000,369000000,0.68,130000000.0,943000000,1454000000,2901000000,229000000,5527000000,4042000000,1903000000,143000000,487000000,12102000000,508000000,1309000000,551000000,2938000000,1899000000,551000000,6213000000,TSN
2013-09-28,10-Q,0000100493,8894000000,8049000000,263000000,0.0,416000000,2000000,36000000,136000000,259000000,369000000,0.7,130000000.0,1145000000,1497000000,2817000000,145000000,5604000000,4053000000,1902000000,138000000,480000000,12177000000,513000000,1359000000,560000000,3010000000,1895000000,560000000,6201000000,TSN
2013-09-28,10-K,0000100493,34374000000,32016000000,983000000,0.0,1375000000,7000000,145000000,409000000,778000000,367000000,2.12,520000000.0,1145000000,1497000000,2817000000,145000000,5604000000,4053000000,1902000000,138000000,480000000,12177000000,513000000,1359000000,560000000,3010000000,1895000000,560000000,6201000000,TSN
2013-12-28,10-Q,0000100493,8761000000,8076000000,273000000,0.0,412000000,2000000,28000000,131000000,252000000,354000000,0.72,127000000.0,825000000,1497000000,2778000000,130000000,5230000000,4072000000,1907000000,133000000,502000000,11844000000,52000000,1477000000,582000000,2606000000,1890000000,582000000,6285000000,TSN
2014-03-29,10-Q,0000100493,9032000000,8381000000,290000000,0.0,361000000,3000000,25000000,131000000,210000000,356000000,0.6,127000000.0,438000000,1548000000,2968000000,230000000,5184000000,4105000000,1925000000,156000000,516000000,11886000000,52000000,1429000000,585000000,2505000000,1888000000,585000000,6436000000,TSN
2014-06-28,10-Q,0000100493,9682000000,9045000000,286000000,0.0,351000000,1000000,25000000,52000000,258000000,356000000,0.73,127000000.0,587000000,1624000000,3061000000,241000000,5513000000,3941000000,1925000000,151000000,525000000,12055000000,41000000,1496000000,545000000,2612000000,1784000000,545000000,6694000000,TSN
2014-09-27,10-Q,0000100493,10105000000,9045000000,286000000,0.0,306000000,1000000,25000000,52000000,136000000,356000000,0.35,127000000.0,438000000,1684000000,3274000000,379000000,6221000000,5130000000,6706000000,5276000000,623000000,23956000000,643000000,1806000000,1270000000,3797000000,7535000000,1270000000,8890000000,TSN
2014-09-27,10-K,0000100493,37580000000,34895000000,1255000000,5000000.0,1430000000,7000000,132000000,396000000,856000000,364000000,2.37,508000000.0,438000000,1684000000,3274000000,379000000,6221000000,5130000000,6706000000,5276000000,623000000,23956000000,643000000,1806000000,1270000000,3797000000,7535000000,1270000000,8890000000,TSN
2014-12-27,10-Q,0000100493,10817000000,9861000000,447000000,0.0,509000000,2000000,77000000,125000000,310000000,416000000,0.74,175000000.0,381000000,1777000000,3192000000,375000000,5938000000,5211000000,6700000000,5246000000,663000000,23758000000,596000000,2147000000,1263000000,3954000000,6931000000,1263000000,9123000000,TSN
2015-03-28,10-Q,0000100493,9979000000,8990000000,442000000,0.0,547000000,1000000,71000000,172000000,311000000,415000000,0.75,175000000.0,223000000,1632000000,3262000000,346000000,5668000000,5278000000,6689000000,5223000000,668000000,23526000000,1236000000,1694000000,1215000000,4051000000,6438000000,1215000000,9355000000,TSN
2015-06-27,10-Q,0000100493,10071000000,9085000000,423000000,0.0,563000000,3000000,73000000,174000000,344000000,414000000,0.83,175000000.0,471000000,1633000000,3082000000,214000000,5589000000,5312000000,6690000000,5202000000,650000000,23443000000,1205000000,1621000000,1256000000,4028000000,6029000000,1256000000,9667000000,TSN
2015-10-03,10-Q,0000100493,10506000000,9085000000,423000000,0.0,550000000,3000000,73000000,174000000,259000000,414000000,0.63,175000000.0,688000000,1620000000,2878000000,195000000,5381000000,5176000000,6667000000,5168000000,577000000,23004000000,715000000,1662000000,1304000000,3535000000,5975000000,1304000000,9691000000,TSN
2015-10-03,10-K,0000100493,41373000000,37456000000,1748000000,23000000.0,2169000000,9000000,293000000,697000000,1224000000,413000000,2.95,700000000.0,688000000,1620000000,2878000000,195000000,5381000000,5176000000,6667000000,5168000000,577000000,23004000000,715000000,1662000000,1304000000,3535000000,5975000000,1304000000,9691000000,TSN
2016-01-02,10-Q,0000100493,9152000000,7951000000,425000000,0.0,776000000,2000000,67000000,251000000,461000000,400000000,1.15,172000000.0,1187000000,1514000000,2818000000,158000000,5677000000,5184000000,6669000000,5145000000,615000000,23290000000,717000000,1781000000,1343000000,3668000000,5988000000,1343000000,9762000000,TSN
2016-04-02,10-Q,0000100493,9170000000,7987000000,479000000,0.0,704000000,1000000,64000000,210000000,434000000,393000000,1.1,172000000.0,254000000,1493000000,2993000000,187000000,4927000000,5166000000,6670000000,5125000000,623000000,22511000000,79000000,1456000000,1308000000,2610000000,6270000000,1308000000,9791000000,TSN
2016-07-02,10-Q,0000100493,9403000000,8179000000,457000000,0.0,767000000,2000000,60000000,226000000,485000000,388000000,1.25,172000000.0,197000000,1599000000,2918000000,167000000,4881000000,5157000000,6669000000,5104000000,599000000,22410000000,79000000,1466000000,1306000000,2713000000,6099000000,1306000000,9791000000,TSN
