end,form,cik,rev,cost_sale,sale_gen_adm,inpairm,op_income,int_income,int_exp,inc_tax_exp,net_inc,shares,eps_dil,depr_amort,cash_cash_eq,acc_rec,invent,other_curr_ass,tot_curr_ass,ppe_net,goodwill,intang_ass,other_ass,tot_ass,short_debt,acc_pay,other_curr_liab,tot_curr_liab,tot_long_debt,other_liab,tot_equity,ticker
2021-06-30,10-Q,0000051253,3089000000,2179000000,412000000,0.0,110000000,11000000,77000000,14000000,30000000,255000000,0.11,242000000,935000000,2059000000,2464000000,832000000,6297000000,4566000000,17250000000,11448000000,518000000,40864000000,616000000,1389000000,790000000,3227000000,11354000000,477000000,21761000000,IFF
2021-09-30,10-Q,0000051253,3071000000,1981000000,436000000,0.0,298000000,26000000,74000000,53000000,197000000,255000000,0.76,242000000,672000000,1975000000,2401000000,717000000,7132000000,4295000000,16590000000,10959000000,502000000,40252000000,708000000,1332000000,953000000,3579000000,10818000000,478000000,21426000000,IFF
2021-12-31,10-Q,0000051253,3071000000,1981000000,436000000,0.0,298000000,26000000,74000000,53000000,197000000,255000000,0.76,242000000,711000000,1906000000,2516000000,728000000,6987000000,4368000000,16414000000,10506000000,616000000,39658000000,308000000,1532000000,832000000,3633000000,10768000000,462000000,21082000000,IFF
2021-12-31,10-K,0000051253,11656000000,7921000000,1749000000,0.0,585000000,58000000,289000000,75000000,279000000,243000000,1.1,968000000,711000000,1906000000,2516000000,728000000,6987000000,4368000000,16414000000,10506000000,616000000,39658000000,308000000,1532000000,832000000,3633000000,10768000000,462000000,21082000000,IFF
2022-03-31,10-Q,0000051253,3226000000,2081000000,459000000,0.0,341000000,16000000,72000000,39000000,246000000,255000000,0.96,303000000,657000000,2160000000,2795000000,750000000,7507000000,4295000000,16298000000,10250000000,654000000,39747000000,308000000,1629000000,916000000,4032000000,10738000000,426000000,20933000000,IFF
2022-06-30,10-Q,0000051253,3307000000,2171000000,456000000,120000000.0,213000000,-6000000,77000000,21000000,109000000,255000000,0.43,303000000,569000000,2180000000,2993000000,778000000,7730000000,4177000000,16071000000,9867000000,726000000,39304000000,957000000,1576000000,866000000,4720000000,10363000000,462000000,20260000000,IFF
2022-09-30,10-Q,0000051253,3063000000,2062000000,413000000,0.0,-1985000000,33000000,83000000,160000000,-2195000000,255000000,-8.6,303000000,538000000,2031000000,3122000000,793000000,6494000000,4055000000,13305000000,9386000000,663000000,34537000000,308000000,1527000000,1128000000,3626000000,10260000000,472000000,16887000000,IFF
2022-12-31,10-Q,0000051253,3063000000,2062000000,413000000,0.0,-1985000000,33000000,83000000,160000000,-2195000000,255000000,-8.6,303000000,483000000,1818000000,3151000000,770000000,7432000000,4203000000,13355000000,9082000000,689000000,35504000000,410000000,1418000000,1028000000,3728000000,10373000000,491000000,17655000000,IFF
2022-12-31,10-K,0000051253,12440000000,8289000000,1768000000,120000000.0,-1326000000,37000000,336000000,239000000,-1864000000,255000000,-7.32,1212000000,483000000,1818000000,3151000000,770000000,7432000000,4203000000,13355000000,9082000000,689000000,35504000000,410000000,1418000000,1028000000,3728000000,10373000000,491000000,17655000000,IFF
2023-03-31,10-Q,0000051253,3027000000,2063000000,454000000,0.0,131000000,-6000000,111000000,22000000,-8000000,255000000,-0.04,276000000,590000000,1899000000,2946000000,789000000,7442000000,4224000000,13458000000,8968000000,744000000,35470000000,1483000000,1197000000,965000000,4874000000,9220000000,494000000,17758000000,IFF
2023-06-30,10-Q,0000051253,2929000000,1996000000,445000000,0.0,145000000,21000000,116000000,23000000,27000000,255000000,0.11,276000000,638000000,1887000000,2790000000,898000000,6436000000,4218000000,13498000000,8813000000,754000000,34459000000,1203000000,1227000000,919000000,3932000000,9208000000,504000000,17623000000,IFF
